main_gloss,og_gloss,dominant_start_handshape,non_dominant_start_handshape,dominant_end_handshape,non_dominant_end_handshape,handedness,variant_1,variant_2,compounded_word,notes
0,ZERO,O,,O,,1,,,,number
1,ONE,D,,D,,1,,,,number
1,ONE,1,,1,,1,,,,number
1/3,ONE-THIRD,1,,3,,1,,,,number
1/4,ONE-FOURTH,1,,4,,1,,,,number
100,ONE+HUNDRED,1,,C,,1,,,ONE+HUNDRED,number
100,ONE+HUNDRED,1,,5-C-L,,1,,,ONE+HUNDRED,number
100,ONE+HUNDRED,1,,crvd-B,,1,,,ONE+HUNDRED,number
1000,THOUSAND,bent-B-L,B-L,bent-B-L,B-L,1,,,,number
1000,ONE+THOUSAND,1,,bent-B-L,B-L,1,,,ONE+THOUSAND,number
101,CENT+ONE,1,,1,,1,,,CENT+ONE,number
105,CENT+FIVE,I-L-Y,,5,,1,,,CENT+FIVE,number
108,CENT+EIGHT,1,,8,,1,,,CENT+EIGHT,number
110,CENT+TEN,1,,10,,1,,,CENT+TEN,number
110,CENT+TEN,L,,10,,1,,,CENT+TEN,number
12,TWELVE,cocked-U,,V,,1,,,,number
12,TWELVE,S,,V,,1,,,,number
125,CENT+TWENTY-FIVE,1,,25,,1,,,CENT+TWENTY-FIVE,number
125,CENT+TWENTY-FIVE,D,,25,,1,,,CENT+TWENTY-FIVE,number
13,THIRTEEN,U-L,,bent-U-L,,1,,,,number
14,FOURTEEN,bent-B-xd,,bent-B-xd,,1,,,,number
15,FIFTEEN,B-L,,bent-B-L,,1,,,,number
16,SIXTEEN,6,,6,,1,,,,number
16,SIXTEEN,A,,6,,1,,,,number
17,SEVENTEEN,7,,7,,1,,,,number
17,SEVENTEEN,A,,7,,1,,,,number
18,EIGHTEEN,8,,8,,1,,,,number
18,TEN+EIGHT,A,,8,,1,,,TEN+EIGHT,number
19,NINETEEN,F,,F,,1,,,,number
19,NINETEEN,10,,F,,1,,,,number
2,TWO,V,,V,,1,,,,number
20,TWENTY,L,,flat-G,,1,,,,number
20,TWENTY,L,,baby-O,,1,,,,number
20,TWENTY,crvd-L,,flat-G,,1,,,,number
21,TWENTY-ONE,L,,L,,1,,,,number
22,TWENTY-TWO,V,,V,,1,,,,number
23,TWENTY-THREE,3,,3,,1,,,,number
25,TWENTY-FIVE,25,,25,,1,,,,number
3,THREE,3,,3,,1,,,,number
3/4,THREE-FOURTHS,3,,4,,1,,,,number
30,THIRTY,3,,flat-O,,1,,,,number
30,THIRTY,3,,flat-O_2,,1,,,,number
33,THIRTY-THREE,3,,3,,1,,,,number
3RD,THIRD,3,,3,,1,,,,
4,FOUR,4,,4,,1,,,,number
40,FORTY,4,,full-M,,1,,,,number
40,FORTY,4,,O,,1,,,,number
44,FORTY-FOUR,4,,4,,1,,,,number
5,FIVE,5,,5,,1,,,,number
55,FIFTY-FIVE,5,,5,,1,,,,number
5TH,FIFTH,5,,5,,1,,,,
6,SIX,6,,6,,1,,,,number
66,SIXTY-SIX,6,,6,,1,,,,number
67,SIXTY-SEVEN,6,,7,,1,,,,number
68,SIXTY-EIGHT,6,,8,,1,,,,number
69,SIXTY-NINE,6,,F,,1,,,,number
6TH,SIXTH,6,,6,,1,,,,
7,SEVEN,7,,7,,1,,,,number
76,SEVENTY-SIX,7,,6,,1,,,,number
77,SEVENTY-SEVEN,7,,7,,1,,,,number
78,SEVENTY-EIGHT,7,,8,,1,,,,number
79,SEVENTY-NINE,7,,F,,1,,,,number
7TH,SEVENTH,7,,7,,1,,,,
8,EIGHT,8,,8,,1,,,,number
88,EIGHTY-EIGHT,8,,8,,1,,,,number
89,EIGHTY-NINE,8,,F,,1,,,,number
89,EIGHTY-NINE,8,,6,,1,,,,number
8TH,EIGHTH,8,,8,,1,,,,
9,NINE,F,,F,,1,,,,number
97,NINETY-SEVEN,F,,7,,1,,,,number
98,NINETY-EIGHT,F,,8,,1,,,,number
99,NINETY-NINE,F,,F,,1,,,,number
9TH,NINTH,F,,F,,1,,,,
A,A,A,,A,,1,,,,alphabet
A LEVEL ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
A LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
A LOT,A-LOT,5,5,5,5,1,,,,
A LOT,A-LOT,5,5,crvd-5,crvd-5,1,,,,
ABANDON,ABANDON,S,S,5,5,1,,,,
ABORTION,ABORTION,5-C-L,5,5,5,1,,,,
ABORTION,ABORTION,crvd-5,B-L,5,B-L,1,,,,
ABORTION,ABORTION,S,B-L,crvd-5,B-L,1,,,,
ABORTION,ABORTION,5,,5,,1,,,,
ABOUT,ABOUT,1,1,1,1,1,,,,
ABOUT,ABOUT,1,flat-O,1,flat-O,1,,,,
ABOVE,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
ABRASIVE,"DCL\rough surface\""""",5-C,B-L,5-C,B-L,1,,,,rough surface
ABSENT,ABSENT,1,25,1,25,1,,,,
ABSTRACT,ABSTRACT,5,5,5,5,1,,,,
ABUSE,ABUSE,S,1,S,1,1,,,,
ABUSE,ABUSE,A,1,A,1,1,,,,
AC,#AC,A,,C,,1,,,,loan
ACCEPT,ACCEPT,5,5,flat-O,flat-O,1,,,,
ACCIDENT,ACCIDENT,S,S,S,S,1,,,,
ACCIDENT,ACCIDENT,5,5,10,10,1,,,,
ACCIDENT,ACCIDENT,5,5,S,S,1,,,,
ACCIDENT,ACCIDENT,3,3,S,A,1,,,,
ACCIDENT,ACCIDENT,5,5,A,A,1,,,,
ACCOMPANY,ACCOMPANY,A,A,A,A,1,,,,
ACQUIRE,ACQUIRE,open-8,open-8,8,8,1,,,,
ACT,ACT,A,A,A,A,1,,,,
ACT,ACT,10,10,10,10,1,,,,
ACTION,ACTION,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
ACTION,ACTION,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,1,,,,
ACTION,ACTION,crvd-sprd-B,crvd-5,crvd-5,crvd-sprd-B,1,,,,
ACTION,ACTION,C,C,C,C,1,,,,
ACTOR,ACT+AGENT,A,A,B-L,B-L,1,,,ACT+AGENT,
ACTOR,ACT+AGENT,10,10,B-L,B-L,1,,,ACT+AGENT,
ADAPT,ADAPT,A,A,A,A,1,,,,
ADDICTED,ADDICTED,X,,X,,1,,,,
ADDRESS,ADDRESS,A,A,A,A,1,,,,
ADDRESS,ADDRESS,10,10,10,10,1,,,,
ADMIT,ADMIT,B-L,B-L,B-L,B-L,1,,,,
ADMIT,ADMIT,B-L,,B-L,,1,,,,
ADULTERY,ADULTERY,B-L,B-L,bent-B-L,B-L,1,,,,
ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,1,flat-B,1,flat-B,1,ADVENTUROUS,SNEAKY,,
ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,1,B-L,1,B-L,1,ADVENTUROUS,SNEAKY,,
ADVERTISE,ADVERTISE,S,S,S,S,1,,,,
ADVERTISE,ADVERTISE,S,S,crvd-5,S,1,,,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,flat-O,B,5,B,1,ADVISE,INFLUENCE,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,flat-O,flat-B,5,flat-B,1,ADVISE,INFLUENCE,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,flat-O,psv,crvd-sprd-B,psv,1,ADVISE,INFLUENCE,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,flat-O,S,5,S,1,ADVISE,INFLUENCE,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,flat-O,psv,5,psv,1,ADVISE,INFLUENCE,,
ADVISE/INFLUENCE,ADVISE/INFLUENCE,O,psv,crvd-5,psv,1,ADVISE,INFLUENCE,,
ADVISOR,ADVISE/INFLUENCE+AGENT,flat-O,B,B-L,B-L,1,ADVISE,INFLUENCE,ADVISE+AGENT,
ADVISOR,ADVISE/INFLUENCE+AGENT,flat-O,psv,B-L,B-L,1,ADVISE,INFLUENCE,ADVISE+AGENT,
ADVISOR,ADVISE/INFLUENCE+AGENT,flat-O,B-L,B-L,B-L,1,ADVISE,INFLUENCE,ADVISE+AGENT,
AFRAID,AFRAID,5,5,5,5,1,,,,
AFRAID,AFRAID,S,S,5,5,1,,,,
AFRAID,AFRAID,A,A,5,5,1,,,,
AFRICA,ns-AFRICA,5,,flat-O,,1,,,,
AFRICA,(A)ns-AFRICA,A,,A,,1,,,,
AFRICAN AMERICAN PERSON,ns-AFRICA+ns-AMERICA+AGENT,5,,B-L,B-L,1,,,AFRICA+AMERICA,
AFRICAN AMERICAN PERSON,(A)ns-AFRICA+ns-AMERICA+AGENT,A,,B-L,B-L,1,,,AFRICA+AMERICA,
AFTERNOON,AFTERNOON,B,B,B,B,1,,,,
AFTERNOON,AFTERNOON,B-L,B-L,B-L,B-L,1,,,,
AFTERNOON,AFTERNOON,flat-B,B,flat-B,B,1,,,,
AGAIN,AGAIN,bent-B-L,B-L,bent-B-L,B-L,1,,,,
AGAIN,AGAIN,bent-B,B-L,bent-B,B-L,1,,,,
AGAINST,AGAINST,B,B-L,B,B-L,1,,,,
AGAINST,AGAINST,B-L,B-L,B-L,B-L,1,,,,
AGE FIVE,AGE-FIVE,5,,5,,1,,,,
AGE FOUR,AGE-FOUR,4,,4,,1,,,,
AGE ONE,AGE-ONE,1,,1,,1,,,,
AGE TWO,AGE-TWO,V,,V,,1,,,,
AGENT,AGENT,B-L,B-L,B-L,B-L,1,,,,
AGGRESSIVE,AGGRESSIVE,A,A,A,A,1,,,,
AGGRESSIVE,AGGRESSIVE,10,10,10,10,1,,,,
AGGRESSIVE,AGGRESSIVE,A,10,A,10,1,,,,
AGREE,AGREE,1,1,1,1,1,,,,
AGREE,THINK+AGREE,1,,1,1,1,,,THINK+AGREE,
AHEAD,AHEAD,A,A,A,A,1,,,,
AHEAD,AHEAD,10,10,10,10,1,,,,
AIR,AIR,5,,5,,1,,,,
AIR PUMP,AIR-PUMP,S,S,S,S,1,,,,
AIRPLANE,AIRPLANE,I-L-Y,,I-L-Y,,1,,,,
AIRPLANE,AIRPLANE,bent-L,,bent-L,,1,,,,
ALARM,ALARM,1,B-L,1,B-L,1,,,,
ALARM,ALARM,D,B-L,D,B-L,1,,,,
ALCOHOL,ALCOHOL,horns,horns,horns,horns,1,,,,
ALGEBRA,ALGEBRA,10,10,10,10,1,,,,
ALGEBRA,ALGEBRA,A,A,A,A,1,,,,
ALL,ALL,B-L,B-L,B-L,B-L,1,,,,
ALL,#ALL,A,,L,,1,,,,loan
ALL AFTERNOON,ALL-AFTERNOON,B,B,B,B,1,,,,
ALL DAY,ALL-DAY,B,B,5,B,1,,,,
ALL DAY,ALL-DAY,crvd-B,B-L,B-L,B-L,1,,,,
ALL DAY,ALL-DAY,B-L,B-L,5,B-L,1,,,,
ALL DAY,ALL-DAY,B-L,B-L,B-L,B-L,1,,,,
ALL NIGHT,ALL-NIGHT,B-L,B-L,bent-B-L,bent-B-L,1,,,,
ALL NIGHT,ALL-NIGHT,B-xd,psv,B-xd,psv,1,,,,
ALL NIGHT,ALL-NIGHT,B-L,B,B-L,B,1,,,,
ALL NIGHT,ALL-NIGHT,B,B,B,B,1,,,,
ALL NIGHT AFTER MIDNIGHT,ALL-NIGHT-AFTER-MIDNIGHT,B-xd,,B-xd,,1,,,,
ALL RIGHT,ALL-RIGHT,B-L,B-L,B-L,B-L,1,,,,
ALL RIGHT,ALL-RIGHT,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
ALLERGY,NOSE+OPPOSITE,1,,bent-1,bent-1,1,,,NOSE+OPPOSITE,
ALLERGY,ALLERGY,1,1,1,1,1,,,,
ALLIGATOR,ALLIGATOR,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
ALLOW,ALLOW,B-L,B-L,B-L,B-L,1,,,,
ALLOW,ALLOW,bent-B-L,bent-B-L,B-L,B-L,1,,,,
ALMOST,ALMOST,B-L,bent-B-L,10,bent-B-L,1,,,,
ALONE,ALONE,1,,1,,1,,,,
ALSO,ALSO,1,1,1,1,1,,,,
ALWAYS,ALWAYS,1,,1,,1,,,,
AMAZED,AMAZED,S,S,crvd-sprd-B,crvd-sprd-B,1,,,,
AMBULANCE,AMBULANCE,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,1,,,,
AMBULANCE,AMBULANCE,flat-O,flat-O,flat-O,flat-O,1,,,,
AMERICA,ns-AMERICA,5,5,5,5,1,,,,
AMERICAN INDIAN,ns-AMERICAN-INDIAN,F,,F,,1,,,,
AMONG,AMONG,1,5,1,5,1,,,,
AMSTERDAM,ns-nat-AMSTERDAM,1,1,1,1,1,,,,
ANALYZE,ANALYZE,V,V,crvd-V,crvd-V,1,,,,
AND,AND,crvd-sprd-B,,flat-O,,1,,,,
AND,AND,tight-C,,flat-O,,1,,,,
ANGEL,ANGEL,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
ANGEL,ANGEL,bent-B-L,bent-B-L,B-L,B-L,1,,,,
ANGEL,ANGEL,bent-B,bent-B,B-L,B-L,1,,,,
ANGEL,ANGEL,crvd-B,crvd-B,B-L,crvd-B,1,,,,
ANGLE,ANGLE,1,L,1,L,1,,,,
ANGRY,ANGRY,5-C,5-C,5-C,5-C,1,,,,
ANGRY,ANGRY,5-C-L,5-C-L,5-C-L,5-C-L,1,,,,
ANGRY,ANGRY,5-C-L,,5-C-L,,1,,,,
ANIMAL,ANIMAL,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
ANNOUNCE,ANNOUNCE,1,1,1,1,1,,,,
ANSWER,ANSWER,1,1,1,1,1,,,,
ANSWERER,ANSWER+AGENT,1,1,B-L,B-L,1,,,ANSWER+AGENT,
ANY,ANY,10,,10,,1,,,,
ANY,ANY,A,,A,,1,,,,
ANY,ANY,10,,A,,1,,,,
ANYONE,ANY+ONE,A,,1,,1,,,ANY+ONE,
ANYTHING,ANY+THING,A,,5,,1,,,ANY+THING,
ANYTHING,ANY+THING,A,,B-L,,1,,,ANY+THING,
ANYWAY/NOT MATTER,ANYWAY/NOT-MATTER,B-L,B-L,B-L,B-L,1,ANYWAY,NOT-MATTER,,
ANYWAY/NOT MATTER,ANYWAY/NOT-MATTER,B-L,B-L,crvd-B,crvd-B,1,ANYWAY,NOT-MATTER,,
ANYWAY/NOT MATTER,ANYWAY/NOT-MATTER,B-L,B-L,bent-B-L,B-L,1,ANYWAY,NOT-MATTER,,
ANYWHERE,ANY+WHERE,10,,1,,1,,,ANY+WHERE,
ANYWHERE,ANY+WHERE,A,,1,,1,,,ANY+WHERE,
APATHETIC,FEEL+NONE/NOTHING,25,,O,O,1,NONE,NOTHING,FEEL+NOTHING,
APPLAUSE,APPLAUSE,B-L,B-L,B-L,B-L,1,,,,
APPLAUSE,APPLAUSE,5,5,5,5,1,,,,
APPLE,APPLE,X,,X,,1,,,,
APPLE,APPLE,S,,S,,1,,,,
APPLY,APPLY,V,1,V,1,1,,,,
APPOINT,APPOINT,S,,S,,1,,,,
APPOINTMENT,APPOINTMENT,5,crvd-flat-B,S,S,1,,,,
APPOINTMENT,APPOINTMENT,5,5,S,S,1,,,,
APPOINTMENT,APPOINTMENT,5,crvd-5,S,S,1,,,,
APPOINTMENT,APPOINTMENT,5,5,A,A,1,,,,
APPOINTMENT,APPOINTMENT,A,A,A,A,1,,,,
APPOINTMENT,APPOINTMENT,crvd-sprd-B,S,S,S,1,,,,
APPOINTMENT,APPOINTMENT,crvd-5,S,A,S,1,,,,
APPOINTMENT,APPOINTMENT,crvd-5,crvd-5,S,S,1,,,,
APPROVE,APPROVE,S,B-L,K,B-L,1,,,,
APPROVE,APPROVE,S,crvd-B,K,crvd-B,1,,,,
APPROVE/RATIFY,APPROVE/RATIFY,S,crvd-B,S,crvd-B,1,APPROVE,RATIFY,,
AREA,AREA,5,,5,,1,,,,
ARGUE,ARGUE,1,1,1,1,1,,,,
ARIZONA,ns-ARIZONA,A,,A,,1,,,,
ARM,ARM,crvd-B,,crvd-B,,1,,,,
ARM,ARM,5,,5,,1,,,,
AROUND,AROUND,5,,5,,1,,,,
ARRIVE,ARRIVE,bent-B-L,crvd-B,crvd-B,crvd-B,1,,,,
ARRIVE,ARRIVE,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
ARRIVE,ARRIVE,bent-B-L,B-L,B-L,B-L,1,,,,
ARRIVE,ARRIVE,B-L,B-L,B-L,B-L,1,,,,
ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,1,ART,DESIGN,,
ART/DESIGN,ART/DESIGN,D,B-L,D,B-L,1,ART,DESIGN,,
ARTE,ARTICLE,crvd-L,B-L,crvd-L,B-L,1,,,,
ARTE,ARTICLE,L-X,B-L,L-X,B-L,1,,,,
ARTIST/DESIGNER,ART/DESIGN+AGENT,I,B-L,B-L,B-L,1,ART,DESIGN,ART/DESIGN+AGENT,
ASIA,ns-ASIA,A,,5,,1,,,,
ASIA,ns-ASIA,A,,A,,1,,,,
ASK,ASK,1,,1,,1,,,,
ASK,ASK,S,,1,,1,,,,
ASL,#ASL,A,,L,,1,,,,loan
ASL,ns-AMERICA+SIGN+LANGUAGE,5,5,L,L,1,,,AMERICA+SIGN+LANGUAGE,American Sign Language
ASSAULT,ASSAULT,S,1,S,1,1,,,,
ASSIST,ASSIST,10,10,10,10,1,,,,
ASSOCIATION,ASSOCIATION,A,A,A,A,1,,,,
ASSOCIATION,ASSOCIATION,10,10,10,10,1,,,,
ASTONISHED,ASTONISHED,S,S,C,C,1,,,,
ASTRAY,ASTRAY,1,1,1,1,1,,,,
ATHENS,ns-ATHENS,10,B-L,10,B-L,1,,,,
ATLANTA,ns-ATLANTA,A,,A,,1,,,,
ATLANTA,ns-ATLANTA,10,,10,,1,,,,
ATTEMPT,ATTEMPT,A,A,A,A,1,,,,
ATTENTION WAVE,ATTENTION-WAVE,B-L,,B-L,,1,,,,
ATTENTION WAVE,ATTENTION-WAVE,5,,5,,1,,,,
ATTITUDE,ATTITUDE,A,,A,,1,,,,
AUCTION,AUCTION,flat-B,,flat-B,,1,,,,
AUDIENCE,AUDIENCE,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
AUDIENCE,PEOPLE+AUDIENCE,K,K,5-C-L,5-C-L,1,,,PEOPLE+AUDIENCE,
AUDIOLOGIST,AUDIOLOGY+AGENT,A,,B-L,B-L,1,,,AUDIOLOGY+AGENT,
AUDIOLOGY,AUDIOLOGY,A,,A,,1,,,,
AUNT,AUNT,A,,A,,1,,,,
AUSTRALIA,ns-AUSTRALIA,B-xd,,B-xd,,1,,,,
AUSTRALIA,ns-nat-AUSTRALIA,cocked-8,cocked-8,5,5,1,,,,
AUSTRALIA,ns-nat-AUSTRALIA,8,8,5,5,1,,,,
AUSTRIA,ns-nat-AUSTRIA,1,1,X,X,1,,,,
AUTHORITY,AUTHORITY,A,A,A,A,1,,,,
AUTHORITY,AUTHORITY,10,A,10,A,1,,,,
AUTUMN,AUTUMN,B,A,B,A,1,,,,
AUTUMN,AUTUMN,B,B,B,B,1,,,,
AUTUMN,AUTUMN,B,S,B,S,1,,,,
AUTUMN,AUTUMN,B-xd,S,B-xd,S,1,,,,
AUTUMN,AUTUMN,B,psv,B,psv,1,,,,
AVAILABLE,AVAILABLE,25,psv,25,psv,1,,,,
AVAILABLE,AVAILABLE,25,A,25,A,1,,,,
AVERAGE,AVERAGE,B-L,B-L,B-L,B-L,1,,,,
AVOID/FALL BEHIND,AVOID/FALL-BEHIND,10,10,10,10,1,AVOID,FALL-BEHIND,,
AVOID/FALL BEHIND,AVOID/FALL-BEHIND,10,A,10,A,1,AVOID,FALL-BEHIND,,
AWKWARD,AWKWARD,3,3,3,3,1,,,,
B,B,B-xd,,B-xd,,1,,,,alphabet
BABY,BABY,B-L,flat-B,B-L,flat-B,1,,,,
BABY,BABY,B-L,B-L,B-L,B-L,1,,,,
BABY BOY,BOY+BABY,tight-C,,crvd-flat-B,crvd-flat-B,1,,,BOY+BABY,
BABY GIRL,GIRL+BABY_2,10,,B-L,10,1,,,GIRL+BABY,
BABY GIRL,GIRL+BABY_2,10,,B-L,A,1,,,GIRL+BABY,
BABY GIRL,GIRL+BABY,A,,bent-B-L,bent-B-L,1,,,GIRL+BABY,
BACK,#BACK,flat-B,,3,,1,,,,loan
BACK,#BACK,B,,K,,1,,,,loan
BACK,BACK,10,,10,,1,,,,
BACK,#BACK,B-L,B-L,3,3,1,,,,loan
BACK,#BACK,B-xd,B-xd,K,K,1,,,,loan
BACK,#BACK,S,,K,,1,,,,loan
BACKGROUND,BACKGROUND,B,B-L,G,B-L,1,,,,
BACKPACK,BACKPACK,crvd-B,crvd-B,crvd-B,crvd-B,1,,,,
BACKPACK,BACKPACK,A,A,A,A,1,,,,
BACKPACK,BACKPACK,10,10,10,10,1,,,,
BACKSTAB,BACKSTAB,S,B-L,S,B-L,1,,,,
BACON,BACON,U-L,U-L,bent-U-L,bent-U-L,1,,,,
BACON,BACON,bent-U-L,bent-U-L,bent-U-L,bent-U-L,1,,,,
BACON,BACON,U,U,crvd-U,crvd-U,1,,,,
BAD,BAD,B-L,,B-L,,1,,,,
BAD,BAD,B-L,,bent-B-L,,1,,,,
BADGE,BADGE,L-X,,L-X,,1,,,,
BADGE,BADGE,F,,F,,1,,,,
BADGE,BADGE,crvd-L,,crvd-L,,1,,,,
BAG,BAG,B-xd,psv,B-xd,psv,1,,,,
BAKE/OVEN,BAKE/OVEN,B-L,bent-B-L,B-L,bent-B-L,1,BAKE,OVEN,,
BAKE/OVEN,BAKE/OVEN,crvd-flat-B,B-L,crvd-flat-B,B-L,1,BAKE,OVEN,,
BAKING SPRINKLES,BAKING-SPRINKLES,O,,O,,1,,,,
BAKING SPRINKLES,BAKING-SPRINKLES,fanned-flat-O,psv,fanned-flat-O,psv,1,,,,
BALANCE,BALANCE,B-L,B-L,B-L,B-L,1,,,,
BALD,BALD+ALL-GONE,25,,A,,1,,,BALD+ALL-GONE,
BALD,BALD,25,,25,,1,,,,
BALL,BALL,C,C,C,C,1,,,,
BALL,BALL,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,1,,,,
BALL,BALL,crvd-5,crvd-5,crvd-sprd-B,crvd-sprd-B,1,,,,
BALLOON,BALLOON,A,crvd-B,crvd-5,crvd-5,1,,,,
BALLOON,BALLOON,S,S,crvd-5,crvd-5,1,,,,
BALLROOM,FANCY+BOX/ROOM,5,,B-L,B-L,1,BOX,ROOM,FANCY+ROOM,
BALTIMORE,ns-BALTIMORE,crvd-flat-B,,crvd-flat-B,,1,,,,
BALTIMORE,ns-BALTIMORE,B-xd,,B-xd,,1,,,,
BALTIMORE,ns-BALTIMORE,B,,B,,1,,,,
BANANA,BANANA,baby-O,1,baby-O,1,1,,,,
BANANA,BANANA,A,1,A,1,1,,,,
BANANA,BANANA,X-over-thumb,D,X-over-thumb,D,1,,,,
BAND,MUSIC+GROUP/TOGETHER,B-L,B-L,crvd-sprd-B,crvd-sprd-B,1,GROUP,TOGETHER,MUSIC+GROUP,
BANDAID,BANDAID,U,B,U,B,1,,,,
BANDAID,BANDAID,U,psv,U,psv,1,,,,
BANDAID,BANDAID,U,S,U,S,1,,,,
BANGLADESH,ns-BANGLADESH,B-L,,crvd-B,,1,,,,
BAPTIST,BAPTIST,10,10,10,10,1,,,,
BAR,BAR,10,,10,,1,,,,
BAR,BAR,A,,A,,1,,,,
BARBER,(1h)HAIRCUT+AGENT,V,,B-L,B-L,1,,,(1h)HAIRCUT+AGENT,
BARBER,(2h)alt.HAIRCUT+AGENT,V,V,B-L,B-L,2,,,(2h)HAIRCUT+AGENT,
BARK,BARK,crvd-5,crvd-5,5,5,1,,,,
BARK,BARK,5-C-L,5-C,5-C-L,5-C,1,,,,
BARK,BARK,5,5,B-L,B-L,1,,,,
BASEBALL,BASEBALL,S,S,S,S,1,,,,
BASEBALL,BASEBALL,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,1,,,,
BASEMENT,BASEMENT,10,B-L,10,B-L,1,,,,
BASEMENT,BASEMENT,10,flat-B,10,10,1,,,,
BASKET,BASKET,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
BASKETBALL,BASKETBALL,crvd-5,crvd-5,crvd-5,crvd-5,1,,,,
BASKETBALL,BASKETBALL,crvd-3,crvd-3,crvd-3,crvd-3,1,,,,
BAT,BAT,cocked-S,cocked-S,1,1,1,,,,
BAT,BAT,X,X,X,X,1,,,,
BAT,BAT,1,1,X,X,1,,,,
BATH,BATH,10,10,10,10,1,,,,
BATH,"BATH+DCL:crvd-B\big round tub\""""",10,10,crvd-B,crvd-B,1,,,,noun;big round tub
BATH TUB,BATH+fs-TUB,10,10,B,,1,,,BATH+TUB,
BATH TUB,BATH+fs-TUB,A,A,B,,1,,,BATH+TUB,
BATHING SUIT,BATHING-SUIT,B-L,B-L,B-L,B-L,1,,,,
BATHING SUIT,(Y)BATHING-SUIT,Y,Y,Y,Y,1,,,,
BATHING SUIT,BATHING-SUIT,B,B,B,B,1,,,,
BATHROBE,BATHROBE,fanned-flat-O,fanned-flat-O,flat-O,flat-O,1,,,,
BATHROBE,BATH+DRESS/CLOTHES,10,10,5,5,1,DRESS,CLOTHES,BATH+CLOTHES,
BATHROBE,BATH+COAT,10,10,A,A,1,,,BATH+COAT,
BATHROBE,BATH+BATHROBE,A,A,flat-O,flat-O,1,,,BATH+BATHROBE,
BAWL OUT,BAWL-OUT,S,S,5,4,1,,,,
BAWL OUT,BAWL-OUT,S,S,4,4,1,,,,
BAWL OUT,BAWL-OUT,S,1,5,1,1,,,,
BBQ,#BBQ,B,,alt-G_bent-L,,1,,,,loan
BBQ,#BBQ,B,,G,,1,,,,loan
BEACH,BEACH,A,A,5,5,1,,,,
BEACH,BEACH,B-L,crvd-B,5,5,1,,,,
BEACH,BEACH,B-L,B-L,B-L,B-L,1,,,,
BEANS,BEANS,L,L,baby-O,baby-O,1,,,,
BEANS,BEANS,sml-C-3,sml-C-3,baby-O,baby-O,1,,,,
BEAR,BEAR,5,5,5-C,5-C,1,,,,
BEAR,BEAR,crvd-5,crvd-5,5-C-L,5-C-L,1,,,,
BEARD,BEARD,5-C,5-C,5-C,5-C,1,,,,
BEAT,BEAT,S,1,S,1,1,,,,
BEAT,BEAT_3,S,,U,,1,,,,
BEAT,BEAT,S,D,S,D,1,,,,
BEAT,BEAT,S,S,S,S,1,,,,
BEAUTIFUL,BEAUTIFUL,5,,flat-O,,1,,,,
BEAUTIFUL,BEAUTIFUL,5,,5,,1,,,,
BEAUTIFUL OUTFIT,BEAUTIFUL+DRESS/CLOTHES,5,,5,5,1,DRESS,CLOTHES,BEAUTIFUL+DRESS/CLOTHES,
BEAVER,BEAVER,crvd-V,5,crvd-V,5,1,,,,
BECAUSE,BECAUSE,L,,10,,1,,,,
BECAUSE,BECAUSE,L,,L-X,,1,,,,
BECOME,BECOME,B-L,B-L,B-L,B-L,1,,,,
BED,BED,B-L,,B-L,,1,,,,
BED,BED,B-L,B-L,B-L,B-L,1,,,,
BEDROOM,BED+BOX/ROOM,B-L,,B-L,B-L,1,BOX,ROOM,BED+ROOM,
BEE,BEE,F,,B,,1,,,,
BEER,BEER,B,,B,,1,,,,
BEER,BEER,B-xd,,B-xd,,1,,,,
BEFORE,BEFORE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,1,,,,
BEFORE,BEFORE,bent-B-L,B-L,bent-B-L,B-L,1,,,,
BEFORE SCHOOL,BEFORE_2+SCHOOL,bent-B-L,B-L,B-L,B-L,1,,,BEFORE+SCHOOL,
BEG,BEG,5,crvd-B,5-C,crvd-B,1,,,,
